#
#  yeastcyc 22.6 Reactions link table generated on Tue Nov 20, 2018
#
CHITIN-SYNTHASE-RXN	EC-2.4.1.16
CHITIN-DEACETYLASE-RXN	EC-3.5.1.41
CERAMIDASE-YEAST-RXN	EC-3.5.1.23
CERAMIDASE-RXN	EC-3.5.1.23
CELLULOSE-SYNTHASE-UDP-FORMING-RXN	EC-2.4.1.12
CDPKIN-RXN	EC-2.7.4.6
CDPDIGLYSYN-RXN	EC-2.7.7.41
CATAL-RXN	EC-1.11.1.21	EC-1.11.1.6
CARNITINE-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.7
CARDIOLIPSYN-RXN	EC-2.7.8
CARBOXYMETHYLENEBUTENOLIDASE-RXN	EC-3.1.1.45
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	EC-2.6.1.42
BRANCHED-CHAINAMINOTRANSFERLEU-RXN	EC-2.6.1.6	EC-2.6.1.42
BRANCHED-CHAINAMINOTRANSFERILEU-RXN	EC-2.6.1.42
BENZYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.90
BENZYL-ALC-DEHYDROGENASE-RXN	EC-1.1.1.90
BENZALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.7
BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN	EC-1.2.1.28
ATPPHOSPHORIBOSYLTRANS-RXN	EC-2.4.2.17
ATPASE-RXN	EC-3.6.1.15	EC-3.6.1.3
ATP-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.53
ASPCARBTRANS-RXN	EC-2.1.3.2
ASPARTATEKIN-RXN	EC-2.7.2.4
ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	EC-1.2.1.11
ASPARTATE--TRNA-LIGASE-RXN	EC-6.1.1.12
ASPARAGINE--TRNA-LIGASE-RXN	EC-6.1.1.22
ASPARAGHYD-RXN	EC-3.5.1.38	EC-3.5.1.1
ASPAMINOTRANS-RXN	EC-2.6.1.1
ASNSYNA-RXN	EC-6.3.1.1
ARYLFORMAMIDASE-RXN	EC-3.5.1.9
ARYL-ALCOHOL-DEHYDROGENASE-RXN	EC-1.1.1.90
ARGSUCCINSYN-RXN	EC-6.3.4.5
ARGSUCCINLYA-RXN	EC-4.3.2.1
ARGININE--TRNA-LIGASE-RXN	EC-6.1.1.19
ARGINASE-RXN	EC-3.5.3.1
APYRASE-RXN	EC-3.6.1.5
ANTHRANSYN-RXN	EC-4.1.3.27
AMPSYN-RXN	EC-4.3.2.2
AMP-DEPHOSPHORYLATION-RXN	EC-3.1.3.5
AMP-DEAMINASE-RXN	EC-3.5.4.17	EC-3.5.4.6
AMINOCYL-TRNA-HYDROLASE-RXN	EC-3.1.1.29
AMINEOXID-RXN	EC-1.4.3.21
AMIDASE-RXN	EC-3.5.1.4
ALLOPHANATE-HYDROLASE-RXN	EC-3.5.1.54
ALLANTOINASE-RXN	EC-3.5.2.5
ALLANTOICASE-RXN	EC-3.5.3.4
ALKAPHOSPHA-RXN	EC-3.1.3.1
ALDOSE1EPIM-RXN	EC-5.1.3.3
ALDOSE-1-EPIMERASE-RXN	EC-5.1.3.3
ALDHDEHYDROG-RXN	EC-1.2.1.3
ALDEHYDE-REDUCTASE-RXN	EC-1.1.1.21
ALDEHYDE-DEHYDROGENASE-NADP+-RXN	EC-1.2.1.4
ALCOHOL-O-ACETYLTRANSFERASE-RXN	EC-2.3.1.84
ALCOHOL-DEHYDROGENASE-NADPORNOP+-RXN	EC-1.1.1.2
ALCOHOL-DEHYDROG-RXN	EC-1.1.1.1
ALCOHOL-DEHYDROG-GENERIC-RXN	EC-1.1.1.1
ALANINE-AMINOTRANSFERASE-RXN	EC-2.6.1.2
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	EC-2.6.1.44
AIRS-RXN	EC-6.3.3.1
AIRCARBOXY-RXN	EC-4.1.1.21
AICARTRANSFORM-RXN	EC-2.1.2.3
AICARSYN-RXN	EC-4.3.2.2
ADENYLYLSULFKIN-RXN	EC-2.7.1.25
ADENYLOSUCCINATE-SYNTHASE-RXN	EC-6.3.4.4
ADENYLATECYC-RXN	EC-4.6.1.1
ADENYL-KIN-RXN	EC-2.7.4.3
